Authors;Year;Title;Journal;study.ID;carbon;n
Khales et al;2007;Flow-dependent growth in the zooxanthellate soft coral Sinularia flexibilis;Journal of Experimental Marine Biology and Ecology;63;NoData;1
Picciano and Ferrier-Pagès;2007;Ingestion of pico- and nanoplankton by the Mediterranean red coral Corallium rubrum;Marine Biology;64;NoData;1
Rossi and Tsounis;2007;Temporal and spatial variation in protein, carbohydrate, and lipid levels in Corallium rubrum (Anthozoa, Octocorallia);Marine Biology;65;NoData;1
Williams et al;2007;Oceanographic changes in the North Pacific Ocean over the past century recorded in deep-water gorgonian corals;Marine Ecology Progress Series;66;NoData;1
Bell et al;2006;Factors controlling the tentacle and polyp expansion behaviour of selected temperate Anthozoa;Journal of the Marine Biological Association of the United Kingdom;67;NoData;1
Conlan et al;2006;?13C and ?15N shifts in benthic invertebrates exposed to sewage from McMurdo Station, Antarctica;Marine Pollution Bulletin;68;NoData;1
Gili et al;2006;A new trophic link between the pelagic and benthic systems on the Antarctic shelf;Marine Ecology Progress Series;69;NoData;1
Rossi et al;2006;Temporal variation in protein, carbohydrate, and lipid concentrations in Paramuricea clavata (Anthozoa, Octocorallia): Evidence for summer-autumn feeding constraints;Marine Biology;70;NoData;1
Rossi et al;2006;Protein, carbohydrate, lipid concentrations and HSP 70-HSP 90 (stress protein) expression over an annual cycle: Useful tools to detect feeding constraints in a benthic suspension feeder;Helgoland Marine Research;71;NoData;1
Tsounis et al;2006;Diet and seasonal prey capture rates in the Mediterranean red coral (Corallium rubrum L.);Marine Biology;72;NoData;1
Sherwood et al;2005;Stable isotopic composition of deep-sea gorgonian corals Primnoa spp.: A new archive of surface processes;Marine Ecology Progress Series;73;NoData;1
Sherwood et al;2005;Radiocarbon evidence for annual growth rings in the deep-sea octocoral Primnoa resedaeformis;Marine Ecology Progress Series;74;NoData;1
Ward-Paige et al;2005;Reconstruction of nitrogen sources on coral reefs: ?15N and ?13C in gorgonians from Florida Reef Tract;Marine Ecology Progress Series;75;NoData;1
Acuña et al;2004;Feeding habits of the temperate octocoral Tripalea clavaria (Studer, 1878) (Octocorallia, Gorgonaria, Anthothelidae), from sublittoral outcrops off Mar del Plata, Argentina;Belgian Journal of Zoology;76;NoData;1
Rossi et al;2004;Temporal variability in zooplankton prey capture rate of the passive suspension feeder Leptogorgia sarmentosa (Cnidaria: Octocorallia), a case study;Marine Biology;77;Data;1
Goulet et al;2003;Stability of an octocoral-algal symbiosis over time and space;Marine Ecology Progress Series;78;NoData;1
Orejas et al;2003;Role of small-plankton communities in the diet of two Antarctic octocorals (Primnoisis antarctica and Primnoella sp.);Marine Ecology Progress Series;79;Data;1
Ribes et al;2003;Natural feeding of the temperate asymbiotic octocoral-gorgonian Leptogorgia sarmentosa (Cnidaria: Ocotocorallia);Marine Ecology Progress Series;80;Data;1
Coma et al;2002;Seasonality of in situ respiration rate in three temperate benthic suspension feeders;Limnology and Oceanography;81;Data;1
Heikoop et al;2002;Potential climate signals from the deep-sea gorgonian coral Primnoa resedaeformis;Hydrobiologia;82;NoData;1
Lin et al;2002;Modeling the effects of satiation on the feeding rate of a colonial suspension feeder, Acanthogorgia vegae, in a circulating system under lab conditions;Zoological Studies;83;NoData;1
Migné and Davoult;2002;Experimental nutrition in the soft coral Alcyonium digitatum (Cnidaria: Octocorallia): Removal rate of phytoplankton and zooplankton;Cahiers de Biologie Marine;84;Data;1
Orejas et al;2002;Benthic suspension feeders, key players in Antartic marine ecosystems?;Contributions to Science;85;NoData;1
Coma et al;2001;The ultimate opportunists: consumers of seston;Marine Ecology Progress Series;86;Data;1
Michalek-Wagner and Willis;2001;Impacts of bleaching on the soft coral Lobophytum compactum. Ii. Biochemical changes in adults and their eggs;Coral Reefs;87;NoData;1
Orejas et al;2001;Feeding strategies and diet composition of four Antarctic cnidarian species;Polar Biology;88;NoData;1
Widdig and Schlichter;2001;Phytoplankton: A significant trophic source for soft corals?;Helgoland Marine Research;89;Data;1
Ben-David-Zaslow and Benayahu;2000;Biochemical composition, metabolism, and amino acid transport in planula-larvae of the soft coral Heteroxenia fuscescens;Journal of Experimental Zoology;90;NoData;1
Fabricius and Dommisse;2000;Depletion of suspended particulate matter over coastal reef communities dominated by zooxanthellate soft corals;Marine Ecology Progress Series;91;Data;1
Fleury et al;2000;Effect of nutrient enrichment on the complementary (secondary) metabolite composition of the soft coral Sarcophyton ebrenbergi (Cnidaria: Octocorallia: Alcyonaceae) of the Great Barrier Reef;Marine Biology;92;NoData;1
Ben-David-Zaslow and Benayahu et al;1999;Temporal variation in lipid, protein and carbohydrate content in the Red Sea soft coral Heteroxenia fuscescens;Journal of the Marine Biological Association of the United Kingdom;93;NoData;1
Ben-David-Zaslow et al;1999;Reproduction in the Red Sea soft coral Heteroxenia fuscescens: Seasonality and long-term record (1991 to 1997);Marine Biology;94;NoData;1
Garrabou and Wainwright;1999;Life-history traits of Alcyonium acaule and Parazoanthus axinellae (Cnidaria, Anthozoa), with emphasis on growth;Marine Ecology Progress Series;95;NoData;1
Ribes et al;1999;Heterogeneous feeding in benthic suspension feeders: the natural diet and grazing rate of the temperate gorgonian Paramuricea clavata (Cnidara: Octocorallia) over a year cycle;Marine Ecology Progress Series;96;Data;1
Ben-David-Zaslow and Benayahu et al;1998;Competence and longevity in planulae of several species of soft corals;Marine Ecology Progress Series;97;NoData;1
Fabricius et al;1998;In situ depletion of phytoplankton by an azooxanthellate soft coral;Limnology and Oceanography;98;Data;1
Gateño et al;1998;Gastrovascular circulation in an octocoral: Evidence of significant transport of coral and symbiont cells;Biological Bulletin;99;NoData;1
Ribes et al;1998;Heterotrophic feeding by gorgonian corals with symbiotic zooxanthella;Limnology and Oceanography;100;Data;1
Kim and Lasker;1997;Flow-mediated resource competition in the suspension feeding gorgonian Plexaura homomalla (Esper);Journal of Experimental Marine Biology and Ecology;101;NoData;1
Slattery et al;1997;Deposit feeding: a novel mode of nutrition in the Antarctic colonial soft coral Gersemia antarctica;Marine Ecology Progress Series;102;NoData;1
Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;103;Data;1
Fabricius et al;1995;Flow-dependent herbivory and growth in zooxanthellae-free soft corals;Limnology and Oceanography;104;Data;1
Fabricius et al;1995;Herbivory in asymbiotic soft corals;Science;105;NoData;1
Weinbauer and Velmirov;1995;Morphological Variations in the Mediterranean Sea Fan Eunicella Cavolini (Coelenterata: Gorgonacea) in Relation to Exposure, Colony Size and Colony Region;Bulletin of Marine Science;106;NoData;1
Coma et al;1994;Feeding and prey capture cycles in the aposymbiontic gorgonian Paramuricea clavata;Marine Ecology Progress Series;107;Data;1
Dai and Lin;1993;The effects of flow on feeding of three gorgonians from southern Taiwan;Journal of Experimental Marine Biology and Ecology;108;NoData;1
Patterson;1991;The effects of flow on polyp-level prey capture in an octocoral, Alcyonium siderium;The Biological Bulletin;109;NoData;1
Patterson;1991;Passive suspension feeding by an octocoral in plankton patches: empirical test of a mathematical model;Biological Bulletin;110;NoData;1
Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;Data;1
Sponaugle;1991;Flow patterns and velocities around a suspension-feeding gorgonian polyp: evidence from physical models;Journal of Experimental Marine Biology and Ecology;112;NoData;1
Sponaugle and LaBarbera;1991;Drag-induced deformation: a functional feeding strategy in two species of gorgonians;Journal of Experimental Marine Biology and Ecology;113;NoData;1
Best;1988;Passive suspension feeding in a sea pen: Effects of ambient flow on volume flow rate and filtering efficiency;The Biological Bulletin;114;NoData;1
