OrigName;Group;Family;Genus;Species;AphiaID;rank;UsedName;study ID;Authors;Year;Title;Journal;OctoClade;ZooClade;Symbiont;Realm;Province;Ecoregion;Climate;DepthMin;DepthMax;StudyType;StudyTypeN;ResearchProblem;ResearchProblemN;Hmean;Hsd;Hconsidering;Pmean;Psd;Rmean;Rsd;CHARmean;CZARmean;SfG;count;revision ok?;info
Eunicea tourneforti;Holaxonia;Plexauridae;Eunicea;Eunicea tourneforti;283263;Species;Eunicea tourneforti;13;McCauley et al;2018;Species traits dictate seasonal-dependent responses of octocoral–algal symbioses to elevated temperature and ultraviolet radiation;Coral Reefs;A;B, C, B&C;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Western Caribbean;Tropical;5;5;Laboratorial study;1;Bleaching;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Pseudoplexaura crucis;Holaxonia;Plexauridae;Pseudoplexaura;Pseudoplexaura tenuis;1548316;Species;Pseudoplexaura tenuis;13;McCauley et al;2018;Species traits dictate seasonal-dependent responses of octocoral–algal symbioses to elevated temperature and ultraviolet radiation;Coral Reefs;A;NA;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Western Caribbean;Tropical;5;5;Laboratorial study;1;Bleaching;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Eunicea flexuosa;Holaxonia;Plexauridae;Eunicea;Eunicea flexuosa;834203;Species;Eunicea flexuosa;14;Goulet et al;2017;The effects of elevated seawater temperatures on Caribbean gorgonian corals and their algal symbionts, Symbiodinium spp.;PLoS ONE;A;B;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Western Caribbean;Tropical;3;4;Laboratorial study;1;"Role of autotrophy; Bleaching";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Eunicea tourneforti;Holaxonia;Plexauridae;Eunicea;Eunicea tourneforti;283263;Species;Eunicea tourneforti;14;Goulet et al;2017;The effects of elevated seawater temperatures on Caribbean gorgonian corals and their algal symbionts, Symbiodinium spp.;PLoS ONE;A;B, C, B&C;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Western Caribbean;Tropical;3;4;Laboratorial study;1;"Role of autotrophy; Bleaching";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Pseudoplexaura porosa;Holaxonia;Plexauridae;Pseudoplexaura;Pseudoplexaura porosa;290881;Species;Pseudoplexaura porosa;14;Goulet et al;2017;The effects of elevated seawater temperatures on Caribbean gorgonian corals and their algal symbionts, Symbiodinium spp.;PLoS ONE;A;B;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Western Caribbean;Tropical;3;4;Laboratorial study;1;"Role of autotrophy; Bleaching";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Malacobelemnon daytoni;Pennatulacea;Kophobelemnidae;Malacobelemnon;Malacobelemnon daytoni;766545;Species;Malacobelemnon daytoni;15;Servetto et al;2017;Seasonal trophic ecology of the dominant Antarctic coral Malacobelemnon daytoni (Octocorallia, Pennatulacea, Kophobelemnidae);Marine Environmental Research;NA;NA;Azooxanthellate;Southern Ocean;Scotia Sea;Antarctic Peninsula;Polar;15;15;Descriptive field study;1;"Natural diet description; Seasonal variability; Food web description; Prey selectivity";4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Anthoptilum grandiflorum;Pennatulacea;Anthoptilidae;Anthoptilum;Anthoptilum grandiflorum;128504;Species;Anthoptilum grandiflorum;16;Baillon et al;2016;Comparative biometry and isotopy of three dominant pennatulacean corals in the Northwest Atlantic;Acta Zoologica;B;NA;Azooxanthellate;Arctic;"Arctic; Cold Temperate Northwest Atlantic";"Northern Grand Banks–Southern Labrador; Southern Grand Banks–South Newfoundland";Polar;98;1347;Descriptive field study;1;Feeding responses to environmental forces;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Halipteris finmarchica;Pennatulacea;Balticinidae;Balticina;Balticina finmarchica;584787;Species;Balticina finmarchica;16;Baillon et al;2016;Comparative biometry and isotopy of three dominant pennatulacean corals in the Northwest Atlantic;Acta Zoologica;B;NA;Azooxanthellate;Arctic;"Arctic; Cold Temperate Northwest Atlantic";"Northern Grand Banks–Southern Labrador; Southern Grand Banks–South Newfoundland";Polar;214;1333;Descriptive field study;1;Feeding responses to environmental forces;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Pennatula aculeata;Pennatulacea;Pennatulidae;Pennatula;Pennatula aculeata;128515;Species;Pennatula aculeata;16;Baillon et al;2016;Comparative biometry and isotopy of three dominant pennatulacean corals in the Northwest Atlantic;Acta Zoologica;B;NA;Azooxanthellate;Arctic;"Arctic; Cold Temperate Northwest Atlantic";"Northern Grand Banks–Southern Labrador; Southern Grand Banks–South Newfoundland";Polar;98;1415;Descriptive field study;1;Feeding responses to environmental forces;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Sarcophyton cf. glaucum;Alcyoniina;Alcyoniidae;Sarcophyton;Sarcophyton glaucum;209621;Species;Sarcophyton glaucum;17;Costa et al;2016;The effect of mixotrophy in the ex situ culture of the soft coral Sarcophyton cf. glaucum;Aquaculture;A;C;Zooxanthellate;Central Indo-Pacific;Western Coral Triangle;Lesser Sunda;Tropical;8;8;Laboratorial study;1;"Experimental diet description; Role of autotrophy";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
