OrigName;Group;Family;Genus;Species;AphiaID;rank;UsedName;study ID;Authors;Year;Title;Journal;OctoClade;ZooClade;Symbiont;Realm;Province;Ecoregion;Climate;DepthMin;DepthMax;StudyType;StudyTypeN;ResearchProblem;ResearchProblemN;Hmean;Hsd;Hconsidering;Pmean;Psd;Rmean;Rsd;CHARmean;CZARmean;SfG;count;revision ok?;info
Sinularia notanda;Alcyoniina;Alcyoniidae;Sinularia;Sinularia notanda;209991;Species;Sinularia notanda;45;Imbs et al;2012;Fatty acid composition as an indicator of possible sources of nutrition for soft corals of the genus Sinularia (Alcyoniidae);Journal of the Marine Biological Association of the United Kingdom;A;C;Zooxanthellate;Central Indo-Pacific;Sunda Shelf;Southern Vietnam;Tropical;3;3;Descriptive field study;1;"Natural diet description; Role of autotrophy; Food web description";3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Gorgonia ventalina;Holaxonia;Gorgoniidae;Gorgonia;Gorgonia ventalina;290045;Species;Gorgonia ventalina;46;Baker et al;2011;Light-mediated 15N fractionation in Caribbean gorgonian octocorals: Implications for pollution monitoring;Coral Reefs;A;B;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Western Caribbean;Tropical;12.8;24.7;"Descriptive field study; Experimental field study; Laboratorial study";3;Record of environmental changes;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Pseudopterogorgia americana;Holaxonia;Gorgoniidae;Antillogorgia;Antillogorgia americana;708859;Species;Antillogorgia americana;46;Baker et al;2011;Light-mediated 15N fractionation in Caribbean gorgonian octocorals: Implications for pollution monitoring;Coral Reefs;A;B;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Floridian;Tropical;4.6;13.4;"Descriptive field study; Experimental field study; Laboratorial study";3;Record of environmental changes;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Sinularia flexibilis;Alcyoniina;Alcyoniidae;Sinularia;Sinularia flexibilis;288521;Species;Sinularia flexibilis;47;Khales et al;2011;Energy budget for the cultured, zooxanthellate octocoral Sinularia flexibilis;Marine Biotechnology;A;C;Zooxanthellate;NA;NA;NA;NA;NA;NA;Laboratorial study;1;"Experimental diet description; Role of autotrophy";2;NA;NA;NA;NA;NA;NA;NA;NA;111;NA;1;ok;
Subergorgia suberosa;Scleraxonia;Subergorgiidae;Subergorgia;Subergorgia suberosa;288010;Species;Subergorgia suberosa;48;Tseng et al;2011;Effects of sedimentation on the gorgonian Subergorgia suberosa (Pallas, 1766);Marine Biology;NA;NA;Azooxanthellate;Temperate Northern Pacific;Warm Temperate Northwest Pacific;East China Sea;Temperate;8;18;Laboratorial study;1;"Feeding responses to environmental forces; Feeding activity rhythms";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Leptogorgia virgulata;Holaxonia;Gorgoniidae;Leptogorgia;Leptogorgia virgulata;158288;Species;Leptogorgia virgulata;49;Williamson et al;2011;Effects of salinity and sedimentation on the Gorgonian Coral, Leptogorgia virgulata (Lamarck 1815);Journal of Experimental Marine Biology and Ecology;A;NA;Azooxanthellate;Temperate Northern Atlantic;Warm Temperate Northwest Atlantic;Northern Gulf of Mexico;Temperate;3;3;Laboratorial study;1;Feeding responses to environmental forces;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Antillogorgia acerosa;Holaxonia;Gorgoniidae;Antillogorgia;Antillogorgia acerosa;367982;Species;Antillogorgia acerosa;50;Baker et al;2010;Caribbean octocorals record changing carbon and nitrogen sources from 1862 to 2005;Global Change Biology;A;NA;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Greater Antilles;Tropical;1;29;Descriptive field study;1;Record of environmental changes;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Antillogorgia americana;Holaxonia;Gorgoniidae;Antillogorgia;Antillogorgia americana;708859;Species;Antillogorgia americana;50;Baker et al;2010;Caribbean octocorals record changing carbon and nitrogen sources from 1862 to 2005;Global Change Biology;A;NA;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Greater Antilles;Tropical;1;29;Descriptive field study;1;Record of environmental changes;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Antillogorgia bipinnata;Holaxonia;Gorgoniidae;Antillogorgia;Antillogorgia bipinnata;708860;Species;Antillogorgia bipinnata;50;Baker et al;2010;Caribbean octocorals record changing carbon and nitrogen sources from 1862 to 2005;Global Change Biology;A;NA;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;"Greater Antilles; Eastern Caribbean; Southern Caribbean; Bahamian; Floridian; Bermuda; Western Caribbean";Tropical;1;29;Descriptive field study;1;Record of environmental changes;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Pseudopterogorgia spp.;Holaxonia;Gorgoniidae;Pseudopterogorgia;NA;267781;Genus;Pseudopterogorgia spp.;50;Baker et al;2010;Caribbean octocorals record changing carbon and nitrogen sources from 1862 to 2005;Global Change Biology;A;B;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;"Greater Antilles; Eastern Caribbean; Southern Caribbean; Bahamian; Floridian; Bermuda; Western Caribbean";Tropical;1;29;Descriptive field study;1;Record of environmental changes;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Eunicella cavolini;Holaxonia;Gorgoniidae;Eunicella;Eunicella cavolini;125361;Species;Eunicella cavolini;51;Previati et al;2010;Oxygen consumption in Mediterranean octocorals under different temperatures;Journal of Experimental Marine Biology and Ecology;A;NA;Azooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Western Mediterranean;Temperate;20;30;Laboratorial study;1;"Feeding responses to environmental forces; Feeding activity rhythms";2;NA;NA;NA;NA;NA;115.2;36.5;NA;NA;NA;1;ok;Original data: 0.41 ± 0.13 mg O2 g AFDM?1 h?1 (18ºC). The data expressed in units of oxygen were converted into  units of carbon by using a conversion factor of 0.281, based on McCloskey et al. (1978).
Eunicella singularis;Holaxonia;Gorgoniidae;Eunicella;Eunicella singularis;125365;Species;Eunicella singularis;51;Previati et al;2010;Oxygen consumption in Mediterranean octocorals under different temperatures;Journal of Experimental Marine Biology and Ecology;A;A;Zooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Western Mediterranean;Temperate;20;30;Laboratorial study;1;"Feeding responses to environmental forces; Feeding activity rhythms";2;NA;NA;NA;NA;NA;185.5;25.3;NA;NA;NA;1;ok;Original data: 0.66 ± 0.09 mg O2 g AFDM?1 h?1 (18ºC). The data expressed in units of oxygen were converted into  units of carbon by using a conversion factor of 0.281, based on McCloskey et al. (1978).
Paramuricea clavata;Holaxonia;Plexauridae;Paramuricea;Paramuricea clavata;125387;Species;Paramuricea clavata;51;Previati et al;2010;Oxygen consumption in Mediterranean octocorals under different temperatures;Journal of Experimental Marine Biology and Ecology;A;NA;Azooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Western Mediterranean;Temperate;20;30;Laboratorial study;1;"Feeding responses to environmental forces; Feeding activity rhythms";2;NA;NA;NA;NA;NA;255.7;61.8;NA;NA;NA;1;ok;Original data: 0.91 ± 0.22 mg O2 g AFDM?1 h?1 (18ºC). The data expressed in units of oxygen were converted into  units of carbon by using a conversion factor of 0.281, based on McCloskey et al. (1978).
Corallium rubrum;Scleraxonia;Coralliidae;Corallium;Corallium rubrum;125416;Species;Corallium rubrum;51;Previati et al;2010;Oxygen consumption in Mediterranean octocorals under different temperatures;Journal of Experimental Marine Biology and Ecology;C;NA;Azooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Western Mediterranean;Temperate;20;30;Laboratorial study;1;"Feeding responses to environmental forces; Feeding activity rhythms";2;NA;NA;NA;NA;NA;219.2;67.4;NA;NA;NA;1;ok;Original data: 0.78 ± 0.24 mg O2 g AFDM?1 h?1 (18ºC). The data expressed in units of oxygen were converted into  units of carbon by using a conversion factor of 0.281, based on McCloskey et al. (1978).
Pseudopterogorgia sp.;Holaxonia;Gorgoniidae;Pseudopterogorgia;NA;267781;Genus;Pseudopterogorgia sp.;52;Sherwood et al;2010;Nitrogen isotopic records of terrestrial pollution encoded in floridian and bahamian gorgonian corals;Environmental Science and Technology;A;B;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Floridian;Tropical;3;6;Descriptive field study;1;"Feeding responses to environmental forces; Record of environmental changes";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Eunicea sp.;Holaxonia;Plexauridae;Eunicea;NA;291322;Genus;Eunicea sp.;52;Sherwood et al;2010;Nitrogen isotopic records of terrestrial pollution encoded in floridian and bahamian gorgonian corals;Environmental Science and Technology;A;B;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Floridian;Tropical;3;6;Descriptive field study;1;"Feeding responses to environmental forces; Record of environmental changes";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Plexaura sp.;Holaxonia;Plexauridae;Plexaura;NA;267752;Genus;Plexaura sp.;52;Sherwood et al;2010;Nitrogen isotopic records of terrestrial pollution encoded in floridian and bahamian gorgonian corals;Environmental Science and Technology;A;NA;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Floridian;Tropical;3;6;Descriptive field study;1;"Feeding responses to environmental forces; Record of environmental changes";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Pseudoplexaura sp.;Holaxonia;Plexauridae;Pseudoplexaura;NA;267779;Genus;Pseudoplexaura sp.;52;Sherwood et al;2010;Nitrogen isotopic records of terrestrial pollution encoded in floridian and bahamian gorgonian corals;Environmental Science and Technology;A;B;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Floridian;Tropical;3;6;Descriptive field study;1;"Feeding responses to environmental forces; Record of environmental changes";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Ellisella sp.;Calcaxonia;Ellisellidae;Ellisella;NA;125298;Genus;Ellisella sp.;53;Williams and Grottoli;2010;Stable nitrogen and carbon isotope (?15N and ?13C) variability in shallow tropical Pacific soft coral and black coral taxa and implications for paleoceanographic reconstructions;Geochimica et Cosmochimica Acta;B;NA;Azooxanthellate;Central Indo-Pacific;Tropical Northwestern Pacific;West Caroline Islands;Tropical;1;85;Descriptive field study;1;Record of environmental changes;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Viminella sp.;Calcaxonia;Ellisellidae;Viminella;NA;125300;Genus;Viminella sp.;53;Williams and Grottoli;2010;Stable nitrogen and carbon isotope (?15N and ?13C) variability in shallow tropical Pacific soft coral and black coral taxa and implications for paleoceanographic reconstructions;Geochimica et Cosmochimica Acta;NA;NA;Azooxanthellate;Central Indo-Pacific;Tropical Northwestern Pacific;West Caroline Islands;Tropical;1;85;Descriptive field study;1;Record of environmental changes;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Acanthogorgia sp.;Holaxonia;Acanthogorgiidae;Acanthogorgia;NA;125293;Genus;Acanthogorgia sp.;53;Williams and Grottoli;2010;Stable nitrogen and carbon isotope (?15N and ?13C) variability in shallow tropical Pacific soft coral and black coral taxa and implications for paleoceanographic reconstructions;Geochimica et Cosmochimica Acta;A;NA;Azooxanthellate;Central Indo-Pacific;Tropical Northwestern Pacific;West Caroline Islands;Tropical;5;85;Descriptive field study;1;Record of environmental changes;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Muricella sp.;Holaxonia;Acanthogorgiidae;Muricella;NA;267602;Genus;Muricella sp.;53;Williams and Grottoli;2010;Stable nitrogen and carbon isotope (?15N and ?13C) variability in shallow tropical Pacific soft coral and black coral taxa and implications for paleoceanographic reconstructions;Geochimica et Cosmochimica Acta;NA;NA;Azooxanthellate;Central Indo-Pacific;Tropical Northwestern Pacific;West Caroline Islands;Tropical;2;105;Descriptive field study;1;Record of environmental changes;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Keroeides sp.;Holaxonia;Keroeididae;Keroeides;NA;267529;Genus;Keroeides sp.;53;Williams and Grottoli;2010;Stable nitrogen and carbon isotope (?15N and ?13C) variability in shallow tropical Pacific soft coral and black coral taxa and implications for paleoceanographic reconstructions;Geochimica et Cosmochimica Acta;NA;NA;Azooxanthellate;Central Indo-Pacific;Tropical Northwestern Pacific;West Caroline Islands;Tropical;1;33;Descriptive field study;1;Record of environmental changes;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Astrogorgia sp.;Holaxonia;Plexauridae;Astrogorgia;NA;267242;Genus;Astrogorgia sp.;53;Williams and Grottoli;2010;Stable nitrogen and carbon isotope (?15N and ?13C) variability in shallow tropical Pacific soft coral and black coral taxa and implications for paleoceanographic reconstructions;Geochimica et Cosmochimica Acta;NA;NA;Azooxanthellate;Central Indo-Pacific;Tropical Northwestern Pacific;West Caroline Islands;Tropical;21;45;Descriptive field study;1;Record of environmental changes;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Bebryce sp.;Holaxonia;Plexauridae;Bebryce;NA;125308;Genus;Bebryce sp.;53;Williams and Grottoli;2010;Stable nitrogen and carbon isotope (?15N and ?13C) variability in shallow tropical Pacific soft coral and black coral taxa and implications for paleoceanographic reconstructions;Geochimica et Cosmochimica Acta;NA;NA;Azooxanthellate;Central Indo-Pacific;Tropical Northwestern Pacific;West Caroline Islands;Tropical;1;85;Descriptive field study;1;Record of environmental changes;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Echinogorgia sp.;Holaxonia;Plexauridae;Echinogorgia;NA;267402;Genus;Echinogorgia sp.;53;Williams and Grottoli;2010;Stable nitrogen and carbon isotope (?15N and ?13C) variability in shallow tropical Pacific soft coral and black coral taxa and implications for paleoceanographic reconstructions;Geochimica et Cosmochimica Acta;NA;NA;Azooxanthellate;Central Indo-Pacific;Tropical Northwestern Pacific;West Caroline Islands;Tropical;1;85;Descriptive field study;1;Record of environmental changes;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Paracis sp.;Holaxonia;Plexauridae;Paracis;NA;267673;Genus;Paracis sp.;53;Williams and Grottoli;2010;Stable nitrogen and carbon isotope (?15N and ?13C) variability in shallow tropical Pacific soft coral and black coral taxa and implications for paleoceanographic reconstructions;Geochimica et Cosmochimica Acta;NA;NA;Azooxanthellate;Central Indo-Pacific;Tropical Northwestern Pacific;West Caroline Islands;Tropical;4;85;Descriptive field study;1;Record of environmental changes;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Villogorgia sp.;Holaxonia;Plexauridae;Villogorgia;NA;125316;Genus;Villogorgia sp.;53;Williams and Grottoli;2010;Stable nitrogen and carbon isotope (?15N and ?13C) variability in shallow tropical Pacific soft coral and black coral taxa and implications for paleoceanographic reconstructions;Geochimica et Cosmochimica Acta;NA;NA;Azooxanthellate;Central Indo-Pacific;Tropical Northwestern Pacific;West Caroline Islands;Tropical;5;85;Descriptive field study;1;Record of environmental changes;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Annella sp.;Scleraxonia;Subergorgiidae;Annella;NA;517547;Genus;Annella sp.;53;Williams and Grottoli;2010;Stable nitrogen and carbon isotope (?15N and ?13C) variability in shallow tropical Pacific soft coral and black coral taxa and implications for paleoceanographic reconstructions;Geochimica et Cosmochimica Acta;NA;NA;Azooxanthellate;Central Indo-Pacific;Tropical Northwestern Pacific;West Caroline Islands;Tropical;5;45;Descriptive field study;1;Record of environmental changes;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Paramuricea cf. macrospina;Holaxonia;Plexauridae;Paramuricea;Paramuricea macrospina;125389;Species;Paramuricea macrospina;54;Carlier et al;2009;Trophic relationships in a deep mediterranean cold-water coral bank (Santa Maria di Leuca, Ionian sea);Marine Ecology Progress Series;A;NA;Azooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Ionian Sea;Temperate;550;700;Descriptive field study;1;"Natural diet description; Food web description";1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Eunicella singularis;Holaxonia;Gorgoniidae;Eunicella;Eunicella singularis;125365;Species;Eunicella singularis;55;Ferrier-Pagès et al;2009;Physiological response of the symbiotic gorgonian Eunicella singularis to a longterm temperature increase;Journal of Experimental Biology;A;A;Zooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Western Mediterranean;Temperate;15;35;Laboratorial study;1;"Feeding responses to environmental forces; Bleaching";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Sinularia flexibilis;Alcyoniina;Alcyoniidae;Sinularia;Sinularia flexibilis;288521;Species;Sinularia flexibilis;56;Khales et al;2009;Light-dependency of growth and secondary metabolite production in the captive zooxanthellate soft coral sinularia flexibilis;Biotechnology;A;C;Zooxanthellate;NA;NA;NA;NA;NA;NA;Laboratorial study;1;Role of autotrophy;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Carijoa riisei;Stolonifera;Clavulariidae;Carijoa;Carijoa riisei;395098;Species;Carijoa riisei;57;Lira et al;2009;Trophic ecology of the octocoral Carijoa riisei from littoral of Pernambuco, Brazil. I. Composition and spatio-temporal variation of the diet;Journal Of The Marine Biological Association Of The United Kingdom;A;NA;Azooxanthellate;Tropical Atlantic;Tropical Southwestern Atlantic;Northeastern Brazil;Tropical;2;6;Descriptive field study;1;"Natural diet description; Prey selectivity; Seasonal variability";3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
~90 genera;NA;NA;NA;NA;NA;NA;NA;58;Fabricius and De'ath;2008;Photosynthetic symbionts and energy supply determine octocoral biodiversity in coral reefs;Ecology;NA;NA;Undefined;Central Indo-Pacific;Northeast Australian Shelf;Torres Strait Northern Great Barrier Reef;Tropical;1;18;Descriptive field study;1;Other subjects;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Anthomastus grandiflorus;Alcyoniina;Alcyoniidae;Anthomastus;Anthomastus grandiflorus;125335;Species;Anthomastus grandiflorus;59;Sherwood et al;2008;Stable C and N isotopic composition of cold-water corals from the Newfoundland and Labrador continental slope: Examination of trophic, depth and spatial effects;Deep-Sea Research Part I: Oceanographic Research Papers;C;NA;Azooxanthellate;Arctic;Arctic;Northern Grand Banks–Southern Labrador;Polar;170;1400;Descriptive field study;1;"Natural diet description; Food web description";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Duva florida;Alcyoniina;Nephtheidae;Duva;Duva florida;146943;Species;Duva florida;59;Sherwood et al;2008;Stable C and N isotopic composition of cold-water corals from the Newfoundland and Labrador continental slope: Examination of trophic, depth and spatial effects;Deep-Sea Research Part I: Oceanographic Research Papers;NA;NA;Azooxanthellate;Arctic;Arctic;Northern Grand Banks–Southern Labrador;Polar;50;1400;Descriptive field study;1;"Natural diet description; Food web description";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Acanella arbuscula;Calcaxonia;Keratoisididae;Acanella;Acanella arbuscula;125371;Species;Acanella arbuscula;59;Sherwood et al;2008;Stable C and N isotopic composition of cold-water corals from the Newfoundland and Labrador continental slope: Examination of trophic, depth and spatial effects;Deep-Sea Research Part I: Oceanographic Research Papers;NA;NA;Azooxanthellate;Arctic;Arctic;Northern Grand Banks–Southern Labrador;Polar;150;1400;Descriptive field study;1;"Natural diet description; Food web description";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Keratoisis ornata;Calcaxonia;Keratoisididae;Keratoisis;Keratoisis grayi;125376;Species;Keratoisis grayi;59;Sherwood et al;2008;Stable C and N isotopic composition of cold-water corals from the Newfoundland and Labrador continental slope: Examination of trophic, depth and spatial effects;Deep-Sea Research Part I: Oceanographic Research Papers;NA;NA;Azooxanthellate;Arctic;Arctic;Northern Grand Banks–Southern Labrador;Polar;200;1100;Descriptive field study;1;"Natural diet description; Food web description";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Primnoa resedaeformis;Calcaxonia;Primnoidae;Primnoa;Primnoa resedaeformis;125411;Species;Primnoa resedaeformis;59;Sherwood et al;2008;Stable C and N isotopic composition of cold-water corals from the Newfoundland and Labrador continental slope: Examination of trophic, depth and spatial effects;Deep-Sea Research Part I: Oceanographic Research Papers;B;NA;Azooxanthellate;Arctic;Arctic;Northern Grand Banks–Southern Labrador;Polar;160;1100;Descriptive field study;1;"Natural diet description; Food web description";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Acanthogorgia armata;Holaxonia;Acanthogorgiidae;Acanthogorgia;Acanthogorgia armata;125348;Species;Acanthogorgia armata;59;Sherwood et al;2008;Stable C and N isotopic composition of cold-water corals from the Newfoundland and Labrador continental slope: Examination of trophic, depth and spatial effects;Deep-Sea Research Part I: Oceanographic Research Papers;A;NA;Azooxanthellate;Arctic;Arctic;Northern Grand Banks–Southern Labrador;Polar;170;1400;Descriptive field study;1;"Natural diet description; Food web description";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Paramuricea;Holaxonia;Plexauridae;Paramuricea;NA;125311;Genus;Paramuricea sp.;59;Sherwood et al;2008;Stable C and N isotopic composition of cold-water corals from the Newfoundland and Labrador continental slope: Examination of trophic, depth and spatial effects;Deep-Sea Research Part I: Oceanographic Research Papers;A;NA;Azooxanthellate;Arctic;Arctic;Northern Grand Banks–Southern Labrador;Polar;150;1400;Descriptive field study;1;"Natural diet description; Food web description";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Halipteris finmarchica;Pennatulacea;Balticinidae;Balticina;Balticina finmarchica;584787;Species;Balticina finmarchica;59;Sherwood et al;2008;Stable C and N isotopic composition of cold-water corals from the Newfoundland and Labrador continental slope: Examination of trophic, depth and spatial effects;Deep-Sea Research Part I: Oceanographic Research Papers;B;NA;Azooxanthellate;Arctic;Arctic;Northern Grand Banks–Southern Labrador;Polar;100;1400;Descriptive field study;1;"Natural diet description; Food web description";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Pennatula;Pennatulacea;Pennatulidae;Pennatula;NA;128495;Genus;Pennatula sp.;59;Sherwood et al;2008;Stable C and N isotopic composition of cold-water corals from the Newfoundland and Labrador continental slope: Examination of trophic, depth and spatial effects;Deep-Sea Research Part I: Oceanographic Research Papers;B;NA;Azooxanthellate;Arctic;Arctic;Northern Grand Banks–Southern Labrador;Polar;100;1400;Descriptive field study;1;"Natural diet description; Food web description";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Paragorgia arborea;Scleraxonia;Paragorgiidae;Paragorgia;Paragorgia arborea;125418;Species;Paragorgia arborea;59;Sherwood et al;2008;Stable C and N isotopic composition of cold-water corals from the Newfoundland and Labrador continental slope: Examination of trophic, depth and spatial effects;Deep-Sea Research Part I: Oceanographic Research Papers;NA;NA;Azooxanthellate;Arctic;Arctic;Northern Grand Banks–Southern Labrador;Polar;NA;300;Descriptive field study;1;"Natural diet description; Food web description";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Xenia umbellata;Alcyoniina;Xeniidae;Xenia;Xenia umbellata;210023;Species;Xenia umbellata;60;Al-Sofyani et al;2007;A comparative study of the components of the hard coral Seriatopora hystrix and the soft coral Xenia umbellata along the Jeddah coast, Saudi Arabia;Revista de Biologia Marina y Oceanografia;A;C;Zooxanthellate;Western Indo-Pacific;Red Sea and Gulf of Aden;Northern and Central Red Sea;Tropical;3;3;Descriptive field study;1;"Natural diet description; Role of autotrophy";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Veretillum cynomorium;Pennatulacea;Veretillidae;Veretillum;Veretillum cynomorium;128536;Species;Veretillum cynomorium;61;Carlier et al;2007;Benthic trophic network in the Bay of Banyuls-sur-Mer (northwest Mediterranean, France): an assessment based on stable carbon and nitrogen isotopes analysis;Estuarine, Coastal and Shelf Science;NA;NA;Azooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Western Mediterranean;Temperate;5;35;Descriptive field study;1;"Natural diet description; Food web description; Prey selectivity";3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Eunicella singularis;Holaxonia;Gorgoniidae;Eunicella;Eunicella singularis;125365;Species;Eunicella singularis;62;Gori et al;2007;Spatial variability in reproductive cycle of the gorgonians Paramuricea clavata and Eunicella singularis (Anthozoa, Octocorallia) in the Western Mediterranean Sea;Marine Biology;A;A;Zooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Western Mediterranean;Temperate;18;35;Descriptive field study;1;Other subjects;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Paramuricea clavata;Holaxonia;Plexauridae;Paramuricea;Paramuricea clavata;125387;Species;Paramuricea clavata;62;Gori et al;2007;Spatial variability in reproductive cycle of the gorgonians Paramuricea clavata and Eunicella singularis (Anthozoa, Octocorallia) in the Western Mediterranean Sea;Marine Biology;A;NA;Azooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Western Mediterranean;Temperate;18;35;Descriptive field study;1;Other subjects;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Sinularia flexibilis;Alcyoniina;Alcyoniidae;Sinularia;Sinularia flexibilis;288521;Species;Sinularia flexibilis;63;Khales et al;2007;Flow-dependent growth in the zooxanthellate soft coral Sinularia flexibilis;Journal of Experimental Marine Biology and Ecology;A;C;Zooxanthellate;NA;NA;NA;NA;NA;NA;Laboratorial study;1;Feeding responses to environmental forces;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Corallium rubrum;Scleraxonia;Coralliidae;Corallium;Corallium rubrum;125416;Species;Corallium rubrum;64;Picciano and Ferrier-Pagès;2007;Ingestion of pico- and nanoplankton by the Mediterranean red coral Corallium rubrum;Marine Biology;C;NA;Azooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Western Mediterranean;Temperate;25;30;Laboratorial study;1;"Natural diet description; Feeding responses to environmental forces";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Corallium rubrum;Scleraxonia;Coralliidae;Corallium;Corallium rubrum;125416;Species;Corallium rubrum;65;Rossi and Tsounis;2007;Temporal and spatial variation in protein, carbohydrate, and lipid levels in Corallium rubrum (Anthozoa, Octocorallia);Marine Biology;C;NA;Azooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Western Mediterranean;Temperate;16;45;Descriptive field study;1;Seasonal variability;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Primnoa sp.;Calcaxonia;Primnoidae;Primnoa;NA;125321;Genus;Primnoa sp.;66;Williams et al;2007;Oceanographic changes in the North Pacific Ocean over the past century recorded in deep-water gorgonian corals;Marine Ecology Progress Series;B;NA;Azooxanthellate;Temperate Northern Pacific;Cold Temperate Northeast Pacific;Gulf of Alaska;Polar;110;429;Descriptive field study;1;Record of environmental changes;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Alcyonium digitatum;Alcyoniina;Alcyoniidae;Alcyonium;Alcyonium digitatum;125333;Species;Alcyonium digitatum;67;Bell et al;2006;Factors controlling the tentacle and polyp expansion behaviour of selected temperate Anthozoa;Journal of the Marine Biological Association of the United Kingdom;A;NA;Azooxanthellate;Temperate Northern Atlantic;Northern European Seas;Celtic Seas;Temperate;12;12;"Descriptive field study; Laboratorial study";2;"Feeding activity rhythms; Feeding responses to environmental forces";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
